"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_vq_loss__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MAX"
"31","682","682","682","0.001164795912336558","0.0006074368138797581","0.0023530912585556507","682","682","682","0.0038117088843137026","0.0031218540389090776","0.004694730509072542"
"32","703","703","703","0.001172669348306954","0.0005950760096311569","0.002381180180236697","703","703","703","0.003793050069361925","0.0033038496039807796","0.004671144764870405"
"33","725","725","725","0.0011634091031737625","0.0005999814602546394","0.002395101124420762","725","725","725","0.0037241537123918534","0.00290364446118474","0.004914071410894394"
"34","746","746","746","0.0011486225528642535","0.0006004932220093906","0.002373139839619398","746","746","746","0.003736535180360079","0.0030124583281576633","0.00457550585269928"
"35","767","767","767","0.0011210524477064609","0.0005927078309468925","0.0023364024236798286","767","767","767","0.0036490779370069505","0.003028009319677949","0.004454251378774643"
"36","789","789","789","0.0011002696701325476","0.0005972382496111095","0.00225343881174922","789","789","789","0.0036391915753483774","0.0028649154119193554","0.004699822049587965"
"37","810","810","810","0.0010931697557680308","0.0006006151670590043","0.0022362517192959785","810","810","810","0.0036534377839416267","0.002868996700271964","0.004587792791426182"
"38","832","832","832","0.001105469628237188","0.0006043740431778133","0.0023256593849509954","832","832","832","0.003593981172889471","0.0028407766949385405","0.004242790397256613"
"39","853","853","853","0.0010818319162353874","0.0006021716399118304","0.0022177754435688257","853","853","853","0.0035707092843949794","0.0027868319302797318","0.004588081035763025"
"40","874","874","874","0.0010737535310909152","0.0005940530099906027","0.0022215060889720917","874","874","874","0.0035985230933874846","0.0028774766251444817","0.004372371826320887"
"41","896","896","896","0.0010381930856965481","0.0005970991333015263","0.002119045238941908","896","896","896","0.0035342843737453224","0.0028787574265152216","0.004138135351240635"
"42","917","917","917","0.0010509877698495983","0.0005938964895904064","0.002138010459020734","917","917","917","0.0035048567689955233","0.002727737883105874","0.004253534134477377"
