"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"87","1878","1878","1878","0.0022444770205765963","0.0017801208887249231","0.0028094337321817875","0.0021260377019643784","0.0016470914706587791","0.0027581879403442144","1878","1878","1878","0.0022088744677603244","0.0019588125869631767","0.0027734553441405296"
"88","1900","1900","1900","0.002209613402374089","0.0017735998844727874","0.0027901087887585163","0.002090405556373298","0.0016482298960909247","0.00271752942353487","1900","1900","1900","0.0022003065794706346","0.001945452531799674","0.0027363388799130917"
"89","1921","1921","1921","0.0022310701664537192","0.0017696963623166084","0.0028229595627635717","0.0021101966500282287","0.0016402024775743484","0.002749653300270438","1921","1921","1921","0.00219716327264905","0.0019709563348442316","0.0026914901100099087"
"90","1942","1942","1942","0.0022091515595093368","0.001765395631082356","0.002779012778773904","0.0020876697031781077","0.0016406982904300094","0.002703281817957759","1942","1942","1942","0.0022163046523928642","0.0019904631190001965","0.00271540111862123"
"91","1964","1964","1964","0.002227265387773514","0.001763753592967987","0.002833468373864889","0.0021080716978758574","0.0016296601388603449","0.002785950666293502","1964","1964","1964","0.0021983291488140823","0.0019728036131709814","0.002708423649892211"
"92","1985","1985","1985","0.0022899380419403315","0.0017693978734314442","0.0028990013524889946","0.0021811444545164703","0.0016397304134443402","0.0028482023626565933","1985","1985","1985","0.002194818202406168","0.001960490131750703","0.002707919105887413"
"93","2006","2006","2006","0.0024038264295086265","0.0017818312626332045","0.0029651629738509655","0.0023274124367162587","0.0016600171802565455","0.002913282485678792","2006","2006","2006","0.002203420689329505","0.0019559203647077084","0.002756217960268259"
"94","2028","2028","2028","0.002335806656628847","0.0017826980911195278","0.0028144537936896086","0.002265037759207189","0.0016685995506122708","0.002762122545391321","2028","2028","2028","0.002200554218143225","0.0019315117970108986","0.00268373335711658"
"95","2049","2049","2049","0.002289171959273517","0.0017896811477839947","0.002762480638921261","0.002200175682082772","0.001670002588070929","0.0027097389101982117","2049","2049","2049","0.0022018197225406764","0.0019384558545425534","0.0027003802824765444"
"96","2070","2070","2070","0.0022831418085843326","0.0017780535854399204","0.0027717500925064087","0.0021990822395309808","0.0016606039134785533","0.002723631914705038","2070","2070","2070","0.002190961269661784","0.0019435833673924208","0.00274044182151556"
"97","2092","2092","2092","0.0023772610817104577","0.001771450974047184","0.0032465641852468252","0.002300369134172797","0.0016474563162773848","0.003217207733541727","2092","2092","2092","0.0021883787820115687","0.001946572563610971","0.002682552207261324"
"98","2113","2113","2113","0.002314006444066763","0.0017686353530734777","0.0029603668954223394","0.0022212756099179386","0.0016401447355747223","0.002883091801777482","2113","2113","2113","0.002190545108169317","0.001935769570991397","0.002705672290176153"
"99","2135","2135","2135","0.00232737036421895","0.0017621928127482533","0.002981659024953842","0.002237197500653565","0.0016256441595032811","0.002919195918366313","2135","2135","2135","0.0021955535048618913","0.0019281889544799924","0.002712386194616556"
