"epoch","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - _step__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0__MAX","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MIN","Group: SCVQVAE1D(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_e - val_recon_loss_0(MASKED)__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"19","426","426","426","0.0023769817780703306","0.002149429405108094","0.0026893997564911842","0.0021999651333317162","0.0018934129038825631","0.0025241964031010866","426","426","426","0.002450662199407816","0.002139306627213955","0.0030758839566260576"
"20","447","447","447","0.0023722223937511443","0.002149042673408985","0.0027083822060376406","0.0021995531395077707","0.0018709390424191952","0.0025865230709314346","447","447","447","0.0024051246233284473","0.0020830861758440733","0.0030677220784127712"
"21","468","468","468","0.0024051905144006013","0.0021322593092918396","0.002956448122859001","0.002227566670626402","0.001880498486571014","0.0028376812115311623","468","468","468","0.0023884563706815243","0.002059254329651594","0.0030478183180093765"
"22","490","490","490","0.002423213655129075","0.0020977440290153027","0.0031508200336247683","0.002248500403948128","0.001854910864494741","0.003063723910599947","490","490","490","0.00240961080417037","0.002176710171625018","0.0030551014933735132"
"23","511","511","511","0.0023764545563608407","0.0020837022457271814","0.0029530993197113276","0.0022087630117312075","0.001857214025221765","0.002859844360500574","511","511","511","0.002369967754930258","0.0020724444184452295","0.0030406261794269085"
"24","533","533","533","0.0023727272637188435","0.0020530596375465393","0.0028436449356377125","0.0022130469558760526","0.0018468134803697467","0.002729051746428013","533","533","533","0.0023547363467514514","0.002046094508841634","0.0030400161631405354"
"25","554","554","554","0.002350936084985733","0.0020314936991780996","0.002792918123304844","0.0021886656526476146","0.0018235010793432593","0.002679433673620224","554","554","554","0.0023506620433181523","0.002051055897027254","0.0030429717153310776"
"26","575","575","575","0.0023453469388186932","0.002036588964983821","0.002945411717519164","0.0021842131623998283","0.0018294345354661345","0.0028574306052178144","575","575","575","0.0023347334936261177","0.002033654833212495","0.003002556273713708"
"27","597","597","597","0.0022973329294472935","0.002009748946875334","0.0027445482555776834","0.0021370360627770424","0.001818271353840828","0.002640820574015379","597","597","597","0.0023453235160559418","0.0020259988959878683","0.0029903778340667486"
"28","618","618","618","0.0022911449428647756","0.0020191289950162172","0.0027882361318916082","0.0021440648939460515","0.0017999878618866205","0.0026964021380990744","618","618","618","0.0023315103258937596","0.002024513203650713","0.0030460525304079056"
"29","639","639","639","0.002289371145889163","0.0020152113866060972","0.0028033102862536907","0.0021507091587409377","0.0018246672116219997","0.0027170833200216293","639","639","639","0.002325998991727829","0.00201772665604949","0.0030424748547375202"
"30","661","661","661","0.0022495298646390436","0.0019844623748213053","0.002657094970345497","0.002102758502587676","0.0017938341479748487","0.002564498223364353","661","661","661","0.002316373074427247","0.002043183194473386","0.002965879160910845"
"31","682","682","682","0.002259843982756138","0.002010860713198781","0.002682049060240388","0.0021117201540619135","0.0017880619270727038","0.0025794683024287224","682","682","682","0.00230903709307313","0.0020042278338223696","0.0029720421880483627"
"32","703","703","703","0.0022427005227655173","0.002003295347094536","0.0026416692417114973","0.0020891004474833607","0.0017829816788434982","0.0025339480489492416","703","703","703","0.002321799099445343","0.0020273372065275908","0.002986534731462598"
"33","725","725","725","0.0022789881099015475","0.002000195672735572","0.002798201749101281","0.002129231858998537","0.0017745286459103227","0.0027210016269236803","725","725","725","0.002313382364809513","0.0020768081303685904","0.0029566558077931404"
"34","746","746","746","0.002264987677335739","0.0020112309139221907","0.0026923781260848045","0.0021170740015804767","0.0017939968965947628","0.002597547834739089","746","746","746","0.0023519367445260287","0.00211325497366488","0.0029780161567032337"
"35","767","767","767","0.0022262759041041134","0.001957521541044116","0.0026616647373884916","0.0020749947754666207","0.0017558177933096886","0.002578520216047764","767","767","767","0.002332065487280488","0.0020157501567155123","0.0029697681311517954"
"36","789","789","789","0.0022434580605477095","0.0019725600723177195","0.002660250524058938","0.0020974818617105484","0.0017515940126031637","0.002573055913671851","789","789","789","0.002324616443365812","0.001995309256017208","0.0029421134386211634"
"37","810","810","810","0.002218243619427085","0.0019689390901476145","0.0026640696451067924","0.002067354042083025","0.0017531581688672304","0.0025807861238718033","810","810","810","0.0022970193065702917","0.002016341546550393","0.002958047902211547"
"38","832","832","832","0.0022248102352023123","0.0019389151129871607","0.002767982194200158","0.0020768481539562345","0.0017560080159455538","0.0026913920883089304","832","832","832","0.002304637338966131","0.0019822525791823864","0.002951787319034338"
"39","853","853","853","0.0022098840679973366","0.0019084166269749403","0.002726155100390315","0.002065379940904677","0.0017454582266509533","0.002644819440320134","853","853","853","0.002278084773570299","0.0019801808521151543","0.002936874981969595"
"40","874","874","874","0.002196164056658745","0.00187997380271554","0.0026760909240692854","0.0020443158457055686","0.0017148678889498115","0.002593718469142914","874","874","874","0.0022803654428571463","0.002027724636718631","0.00293550337664783"
"41","896","896","896","0.0021751057589426636","0.0018589826067909598","0.0026005269028246403","0.0020271069835871456","0.0017040938837453723","0.0025180773809552193","896","896","896","0.0022795385215431453","0.0019769142381846905","0.0029630186036229134"
"42","917","917","917","0.0021698217606171966","0.0018530969973653555","0.002606759313493967","0.002024910249747336","0.001714371028356254","0.0025239596143364906","917","917","917","0.0022827834822237492","0.0019799929577857256","0.002921751933172345"
"43","938","938","938","0.0021718484815210102","0.0018446975154802203","0.0025947082322090864","0.0020274264272302387","0.0016869613900780678","0.002513505984097719","938","938","938","0.0022661279421299697","0.0020141040440648794","0.002916444558650255"
"44","960","960","960","0.002241071779280901","0.0018457460682839155","0.002825492760166526","0.002116786828264594","0.0017154485685750842","0.002752043539658189","960","960","960","0.002260190574452281","0.0019865247886627913","0.002842965070158243"
"45","981","981","981","0.002256657159887254","0.001844625687226653","0.002699007047340274","0.0021625232184305787","0.0017008709255605936","0.0026049145963042974","981","981","981","0.002267268020659685","0.0019728767219930887","0.0028455927968025208"
"46","1002","1002","1002","0.002269025519490242","0.0018791084876284003","0.0026748953387141228","0.002186198648996651","0.0017170215724036098","0.002589146140962839","1002","1002","1002","0.0022880630102008583","0.0020375943277031183","0.0028993948362767696"
"47","1024","1024","1024","0.002272140420973301","0.001876356895081699","0.0027217890601605177","0.0021885691676288843","0.001703435555100441","0.0026377516333013773","1024","1024","1024","0.002287880517542362","0.0019883092027157545","0.0028450561221688986"
"48","1045","1045","1045","0.002256639557890594","0.0018698343774303794","0.0026819759514182806","0.0021658015437424185","0.0017016049241647124","0.002596246777102351","1045","1045","1045","0.002292949240654707","0.0020724523346871138","0.00287066213786602"
"49","1067","1067","1067","0.0022431082092225552","0.0018636921886354685","0.002688003471121192","0.0021468724589794874","0.0017041227547451854","0.0026083074044436216","1067","1067","1067","0.002264398895204067","0.001955256098881364","0.0029194147791713476"
"50","1088","1088","1088","0.0022241259226575493","0.001909060636535287","0.002634769771248102","0.002114449325017631","0.0016942250076681376","0.00255473330616951","1088","1088","1088","0.002249235846102238","0.0019920405466109514","0.0028586697299033403"
"51","1109","1109","1109","0.002263489249162376","0.0019121476216241717","0.0027200011536478996","0.002154244319535792","0.0016992540331557393","0.0026479533407837152","1109","1109","1109","0.0022422973532229664","0.001964638475328684","0.0028341878205537796"
"52","1131","1131","1131","0.002305763820186257","0.0019060997292399406","0.0028784675523638725","0.0021847219904884696","0.00169440358877182","0.0028287945315241814","1131","1131","1131","0.0022478091064840554","0.0019854691345244646","0.0028359880670905113"
"53","1152","1152","1152","0.0022608066210523248","0.0019124065292999148","0.002749177161604166","0.0021301458356902","0.0016996568301692605","0.0026854893658310175","1152","1152","1152","0.0022678847424685957","0.0019775412511080503","0.0029566767625510693"
"54","1173","1173","1173","0.0021900456864386796","0.0019169003935530782","0.002704337704926729","0.0020562125835567715","0.0017349552363157272","0.002615927951410413","1173","1173","1173","0.002245824504643679","0.001991794677451253","0.0028202810790389776"
"55","1195","1195","1195","0.0021892644930630923","0.001900399918667972","0.00273642735555768","0.0020557980984449386","0.0017093970673158765","0.002656521974131465","1195","1195","1195","0.0022666127886623146","0.0019817377906292677","0.0028348674532026052"
"56","1216","1216","1216","0.0022300126496702433","0.0018710659351199865","0.0030018952675163746","0.00209721855353564","0.0017139757983386517","0.002946652239188552","1216","1216","1216","0.0022643601521849634","0.0020197767298668623","0.002844491507858038"
"57","1237","1237","1237","0.0021974509814754128","0.0018500639125704765","0.0028805320616811514","0.0020630135433748363","0.0016937718028202653","0.0028163050301373005","1237","1237","1237","0.0022307807113975285","0.001979681896045804","0.0028168000280857086"
"58","1259","1259","1259","0.0021649464033544064","0.0018354726489633322","0.002700342331081629","0.0020263119135051967","0.0016853968845680356","0.0026198048144578934","1259","1259","1259","0.0022438110318034887","0.002000009175390005","0.0028676148504018784"
"59","1280","1280","1280","0.002175750699825585","0.001817822572775185","0.0027456956449896097","0.0020382279762998223","0.0016620468813925982","0.0026697046123445034","1280","1280","1280","0.0022362928371876477","0.0019809731747955084","0.0027921623550355434"
"60","1301","1301","1301","0.00218166911508888","0.001819942845031619","0.0027122085448354483","0.002046631439588964","0.0016679959371685982","0.002635147888213396","1301","1301","1301","0.002218986488878727","0.001957404427230358","0.002778800204396248"
"61","1323","1323","1323","0.0021880311658605935","0.0018165266374126077","0.002722316887229681","0.0020565168000757695","0.001670875702984631","0.0026495568454265594","1323","1323","1323","0.0022472347598522903","0.0020410059951245785","0.0027735871262848377"
"62","1344","1344","1344","0.0022086941404268145","0.001818272634409368","0.002688321750611067","0.0020933050895109774","0.0016788510838523507","0.002611359115689993","1344","1344","1344","0.002245280938223004","0.0020019691437482834","0.002836847910657525"
