"epoch","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - _step__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0(MASKED)__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=UNIFORM&exponent=60&max_epochs=100 - val_recon_loss_0__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"26","575","575","575","17505.740885416668","17370.40234375","17621.5703125","16750.912760416668","16681.048828125","16796.361328125","575","575","575","15768.8630859375","15705.6611328125","15845.91015625"
"27","597","597","597","17617.151692708332","17503.544921875","17683.837890625","16768.856770833332","16732.078125","16797.06640625","597","597","597","15739.865234375","15597.9443359375","15888.8857421875"
"28","618","618","618","17604.216796875","17489.76953125","17671.02734375","16709.3359375","16654.048828125","16743.513671875","618","618","618","15696.365234375","15583.8359375","15759.7666015625"
"29","639","639","639","17638.766276041668","17566.04296875","17764.615234375","16702.981119791668","16665.40234375","16760.509765625","639","639","639","15650.8837890625","15482.548828125","15784.7119140625"
"30","661","661","661","17613.547526041668","17457.23828125","17796.046875","16649.2890625","16599.607421875","16712.630859375","661","661","661","15636.83671875","15504.9150390625","15759.23828125"
"31","682","682","682","17594.05078125","17443.59765625","17795.8515625","16589.225911458332","16502.7734375","16675.615234375","682","682","682","15618.6673828125","15523.7314453125","15716.5205078125"
"32","703","703","703","17643.899739583332","17554.94921875","17690.46484375","16601.046223958332","16552.541015625","16650.310546875","703","703","703","15587.6943359375","15475.376953125","15690.5126953125"
"33","725","725","725","17594.813802083332","17518.314453125","17672.95703125","16532.749348958332","16474.08984375","16616.318359375","725","725","725","15602.2244140625","15408.53515625","15798.5556640625"
"34","746","746","746","17691.623046875","17675.390625","17719.423828125","16553.122395833332","16527.626953125","16586.20703125","746","746","746","15489.8728515625","15375.61328125","15624.4970703125"
"35","767","767","767","17648.508463541668","17529.517578125","17722.283203125","16501.337239583332","16440.66796875","16552.236328125","767","767","767","15530.5275390625","15466.927734375","15618.767578125"
"36","789","789","789","17725.052083333332","17558.3671875","17842.12890625","16530.055989583332","16463.044921875","16572.30078125","789","789","789","15533.6357421875","15494.3671875","15587.0146484375"
"37","810","810","810","17772.777994791668","17728.875","17796.623046875","16533.920572916668","16497.8359375","16589.0390625","810","810","810","15622.9216796875","15521.9775390625","15701.40625"
