"epoch","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - _step__MAX","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE1D(64)?dataset=CelebA&batch_size=128&count_sampling=POWER_LAW&pixel_sampling=GAUSSIAN&exponent=60&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"39","853","853","853","7195.79453125","7113.0546875","7327.09326171875","853","853","853","8122.41376953125","8070.6123046875","8192.5615234375"
"40","874","874","874","7158.04619140625","7093.421875","7222.43359375","874","874","874","8132.207421875","8053.1376953125","8246.1298828125"
"41","896","896","896","7134.462109375","7054.943359375","7223.0419921875","896","896","896","8129.32109375","8034.669921875","8227.87890625"
"42","917","917","917","7148.87578125","7057.09716796875","7212.53173828125","917","917","917","8108.32890625","8009.31005859375","8202.6005859375"
"43","938","938","938","7100.62138671875","7071.25830078125","7130.091796875","938","938","938","8070.49150390625","8039.94677734375","8116.619140625"
"44","960","960","960","7110.00263671875","7050.84619140625","7194.01708984375","960","960","960","8066.9576171875","7962.4501953125","8191.8515625"
"45","981","981","981","7136.8623046875","7064.40771484375","7208.88134765625","981","981","981","8082.13603515625","7993.01123046875","8162.93310546875"
"46","1002","1002","1002","7124.13359375","7047.8740234375","7231.4267578125","1002","1002","1002","8093.40087890625","8042.07177734375","8133.7353515625"
"47","1024","1024","1024","7141.2576171875","7082.00830078125","7206.64111328125","1024","1024","1024","8093.8322265625","8000.31494140625","8224.30078125"
"48","1045","1045","1045","7144.20419921875","7102.6904296875","7208.7548828125","1045","1045","1045","8063.34306640625","8025.2138671875","8115.32958984375"
"49","1067","1067","1067","7143.245703125","7062.92724609375","7187.05859375","1067","1067","1067","8101.059765625","8025.14208984375","8282.2998046875"
"50","1088","1088","1088","7115.38935546875","7015.67431640625","7233.27880859375","1088","1088","1088","8069.62021484375","8019.0693359375","8123.1923828125"
"51","1109","1109","1109","7142.3177734375","6990.85498046875","7367.4267578125","1109","1109","1109","8088.85859375","8014.40234375","8141.00927734375"
"52","1131","1131","1131","7154.05283203125","7066.4033203125","7280.29296875","1131","1131","1131","8066.85107421875","7976.0478515625","8288.1845703125"
