"epoch","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MIN","Group: SCVAE2D(64)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_kl_loss__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_kl_loss__MAX"
"40","874","874","874","9756.1240234375","9544.5888671875","10109.8671875","874","874","874","8132.207421875","8053.1376953125","8246.1298828125"
"41","896","896","896","9768.67734375","9605.0771484375","10201.068359375","896","896","896","8129.32109375","8034.669921875","8227.87890625"
"42","917","917","917","9706.2677734375","9595.77734375","9896.70703125","917","917","917","8108.32890625","8009.31005859375","8202.6005859375"
"43","938","938","938","9652.992578125","9550.2109375","9743.25390625","938","938","938","8070.49150390625","8039.94677734375","8116.619140625"
"44","960","960","960","9646.1197265625","9574.3564453125","9728.158203125","960","960","960","8066.9576171875","7962.4501953125","8191.8515625"
"45","981","981","981","9683.8296875","9608.4521484375","9795.4404296875","981","981","981","8082.13603515625","7993.01123046875","8162.93310546875"
"46","1002","1002","1002","9598.0708984375","9528.716796875","9737.5078125","1002","1002","1002","8093.40087890625","8042.07177734375","8133.7353515625"
"47","1024","1024","1024","9607.0498046875","9567.783203125","9700.0283203125","1024","1024","1024","8093.8322265625","8000.31494140625","8224.30078125"
"48","1045","1045","1045","9585.370703125","9529.6259765625","9690.654296875","1045","1045","1045","8063.34306640625","8025.2138671875","8115.32958984375"
"49","1067","1067","1067","9586.1337890625","9521.1298828125","9648.5205078125","1067","1067","1067","8101.059765625","8025.14208984375","8282.2998046875"
"50","1088","1088","1088","9640.51484375","9585.0458984375","9738.1357421875","1088","1088","1088","8069.62021484375","8019.0693359375","8123.1923828125"
"51","1109","1109","1109","9592.9537109375","9454.5595703125","9692.4990234375","1109","1109","1109","8088.85859375","8014.40234375","8141.00927734375"
"52","1131","1131","1131","9608.5119140625","9518.345703125","9736.935546875","1131","1131","1131","8066.85107421875","7976.0478515625","8288.1845703125"
"53","1152","1152","1152","9659.65859375","9480.294921875","9915.4951171875","1152","1152","1152","8068.325","7992.1552734375","8142.46728515625"
"54","1173","1173","1173","9764.041796875","9578.119140625","10135.8955078125","1173","1173","1173","8094.5732421875","7972.66845703125","8175.27978515625"
"55","1195","1195","1195","9675.098828125","9622.5341796875","9770.9111328125","1195","1195","1195","8038.3046875","7982.04345703125","8100.9345703125"
"56","1216","1216","1216","9651.2931640625","9510.0986328125","9869.4755859375","1216","1216","1216","8085.53427734375","7970.689453125","8243.427734375"
"57","1237","1237","1237","9588.2013671875","9487.7392578125","9736.810546875","1237","1237","1237","8050.91494140625","7970.525390625","8093.75634765625"
