"epoch","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss__MIN","Group: SCVQVAE2D(256_64_[128, 256]_4_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_vq_loss__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MIN","Group: VQVAE(256_64_[128, 256]_4)?dataset=CelebA&batch_size=128&max_epochs=100 - val_vq_loss__MAX"
"18","404","404","404","0.0025027537252753974","0.0019175196066498756","0.003376696025952697","404","404","404","0.004292782070115209","0.0034268188755959272","0.005473147612065077"
"19","426","426","426","0.0024823199026286604","0.001925419783219695","0.0032180275302380323","426","426","426","0.004272512719035148","0.0035038962960243225","0.004957744386047125"
"20","447","447","447","0.002473386819474399","0.001816453062929213","0.003315844340249896","447","447","447","0.004248788626864552","0.003548514097929001","0.00542159890756011"
"21","468","468","468","0.0025391371455043554","0.002018226543441415","0.003237770637497306","468","468","468","0.004120160127058625","0.003591481363400817","0.005312955006957054"
"22","490","490","490","0.002459313254803419","0.0019145940896123648","0.00324334017932415","490","490","490","0.004024882754310966","0.003443119814619422","0.005221730563789606"
"23","511","511","511","0.002408643672242761","0.0018453048542141914","0.0031903525814414024","511","511","511","0.0041024433914572","0.0035684113390743732","0.00517958914861083"
"24","533","533","533","0.0023991946363821626","0.0017740038456395268","0.003231946611776948","533","533","533","0.0038761618081480263","0.003352599684149027","0.004995069932192564"
"25","554","554","554","0.0023134375223889947","0.0017599636921659112","0.003112949663773179","554","554","554","0.003934411471709609","0.003510327311232686","0.004917657468467951"
"26","575","575","575","0.002297306363470852","0.0018316250061616302","0.0028970895800739527","575","575","575","0.0038559657987207174","0.0034228076692670584","0.00482060806825757"
"27","597","597","597","0.002375355176627636","0.001975963357836008","0.002926150569692254","597","597","597","0.003896698961034417","0.0032933529000729322","0.004936087876558304"
"28","618","618","618","0.00226592724211514","0.0018379876855760813","0.0028270671609789133","618","618","618","0.0037767290137708186","0.0031299013644456863","0.004602582659572363"
"29","639","639","639","0.002255936525762081","0.0018452205695211887","0.002763480180874467","639","639","639","0.0038447518832981586","0.003208600915968418","0.0048720743507146835"
"30","661","661","661","0.0022455761209130287","0.001796613447368145","0.0027658764738589525","661","661","661","0.0038678876124322416","0.0034554062876850367","0.004763357806950808"
"31","682","682","682","0.002228389005176723","0.0018647528486326337","0.0025796126574277878","682","682","682","0.0038117088843137026","0.0031218540389090776","0.004694730509072542"
"32","703","703","703","0.0021934728138148785","0.0019237331580370665","0.0025023301132023335","703","703","703","0.003793050069361925","0.0033038496039807796","0.004671144764870405"
"33","725","725","725","0.0021492607425898313","0.0017679892480373383","0.0024711701553314924","725","725","725","0.0037241537123918534","0.00290364446118474","0.004914071410894394"
"34","746","746","746","0.0021407758817076684","0.0017556246602907777","0.0024023910518735647","746","746","746","0.003736535180360079","0.0030124583281576633","0.00457550585269928"
"35","767","767","767","0.0020685508847236634","0.0017211167141795158","0.0023421545047312975","767","767","767","0.0036490779370069505","0.003028009319677949","0.004454251378774643"
"36","789","789","789","0.0021042297128587963","0.0017488561570644379","0.002323663793504238","789","789","789","0.0036391915753483774","0.0028649154119193554","0.004699822049587965"
"37","810","810","810","0.002101898775435984","0.0017589833587408066","0.002364162588492036","810","810","810","0.0036534377839416267","0.002868996700271964","0.004587792791426182"
"38","832","832","832","0.002115620346739888","0.0017475782660767436","0.00244345236569643","832","832","832","0.003593981172889471","0.0028407766949385405","0.004242790397256613"
"39","853","853","853","0.002127532265149057","0.0016781848389655352","0.002475303364917636","853","853","853","0.0035707092843949794","0.0027868319302797318","0.004588081035763025"
"40","874","874","874","0.0020839072531089187","0.001682480564340949","0.0023172874934971333","874","874","874","0.0035985230933874846","0.0028774766251444817","0.004372371826320887"
"41","896","896","896","0.0020585694583132863","0.0016690748743712902","0.0022989343851804733","896","896","896","0.0035342843737453224","0.0028787574265152216","0.004138135351240635"
"42","917","917","917","0.0020773606840521095","0.001650273916311562","0.002369536319747567","917","917","917","0.0035048567689955233","0.002727737883105874","0.004253534134477377"
"43","938","938","938","0.0020466654561460016","0.0016534014139324427","0.0023777347523719072","938","938","938","0.003516826359555125","0.0026035665068775415","0.004409605637192726"
"44","960","960","960","0.0020154518773779274","0.0016081216745078564","0.002310090698301792","960","960","960","0.003438226459547877","0.0023888545110821724","0.004281945526599884"
"45","981","981","981","0.0019777257228270175","0.0016096167964860797","0.0022176317870616913","981","981","981","0.0034367038402706384","0.002356393728405237","0.0043726819567382336"
"46","1002","1002","1002","0.0019720376702025534","0.0015891172224655747","0.002241992624476552","1002","1002","1002","0.0034033984411507845","0.00235697440803051","0.004355196841061115"
"47","1024","1024","1024","0.001927251578308642","0.0015868685441091657","0.0021981645841151476","1024","1024","1024","0.0033684750087559223","0.0022668142337352037","0.004244733136147261"
"48","1045","1045","1045","0.0019381228135898708","0.001623552874661982","0.0022212883923202753","1045","1045","1045","0.003471591463312507","0.002366358181461692","0.004389291163533926"
"49","1067","1067","1067","0.0019398418255150319","0.0015782263362780213","0.002185301622375846","1067","1067","1067","0.00336455712094903","0.0022905434016138315","0.004223738797008991"
"50","1088","1088","1088","0.0019293376943096518","0.0016098431078717113","0.0021725294645875692","1088","1088","1088","0.0033486591652035712","0.002277891617268324","0.004197550937533379"
"51","1109","1109","1109","0.001892426935955882","0.0015761771937832236","0.0021403126884251833","1109","1109","1109","0.0033611323684453963","0.0024111182428896427","0.004153909161686897"
"52","1131","1131","1131","0.0018806599779054522","0.0015419905539602041","0.002112683840095997","1131","1131","1131","0.003319421969354153","0.002287347102537751","0.003983004949986935"
"53","1152","1152","1152","0.0018778150202706455","0.0015224184608086944","0.0020911633037030697","1152","1152","1152","0.0032997154630720615","0.002256108447909355","0.004057744517922401"
"54","1173","1173","1173","0.0018720843130722643","0.0015178032917901874","0.0021338248625397682","1173","1173","1173","0.003279470931738615","0.002221588511019945","0.004037451930344105"
"55","1195","1195","1195","0.0018532394198700786","0.0015333812916651368","0.002136611845344305","1195","1195","1195","0.0033342749811708927","0.002405875362455845","0.004387883935123682"
"56","1216","1216","1216","0.0018543828511610628","0.0015313317999243736","0.002150546060875058","1216","1216","1216","0.003276577638462186","0.002239788183942437","0.003974561113864183"
"57","1237","1237","1237","0.0018449610564857722","0.0015222750371322036","0.0021254096645861864","1237","1237","1237","0.0033080681692808866","0.0023371782153844833","0.004165176767855883"
"58","1259","1259","1259","0.00184400943107903","0.0015191704733297229","0.0020592166110873222","1259","1259","1259","0.003281764220446348","0.00231147394515574","0.003932901192456484"
"59","1280","1280","1280","0.0018314109416678547","0.0014904632698744535","0.0020896976348012686","1280","1280","1280","0.0032889533787965773","0.0020212309900671244","0.004142562858760357"
"60","1301","1301","1301","0.0018591170897707342","0.0015150000108405948","0.002104181796312332","1301","1301","1301","0.003231864795088768","0.0020600405987352133","0.004161724355071783"
"61","1323","1323","1323","0.0018161351326853037","0.0014887702418491244","0.002150464104488492","1323","1323","1323","0.003222924657166004","0.002049170434474945","0.00400270102545619"
"62","1344","1344","1344","0.0018077410757541656","0.0014613833045586944","0.0021161369513720274","1344","1344","1344","0.0032254546415060757","0.0020116367377340794","0.003963455557823181"
"63","1366","1366","1366","0.0017911154078319668","0.001432711724191904","0.0020792665891349316","1366","1366","1366","0.003155073896050453","0.002086448948830366","0.003954189829528332"
"64","1387","1387","1387","0.0017737288726493716","0.0014814045280218124","0.0020876729395240545","1387","1387","1387","0.0031542124692350627","0.002026511123403907","0.003924146294593811"
"65","1408","1408","1408","0.0018080544658005237","0.001448524766601622","0.0021004227455705404","1408","1408","1408","0.0031334506813436745","0.001981050241738558","0.003987358417361975"
"66","1430","1430","1430","0.0017876298632472753","0.0014288941165432334","0.0020731540862470865","1430","1430","1430","0.0031752010807394983","0.002087184228003025","0.0040348307229578495"
"67","1451","1451","1451","0.0017833603313192725","0.0014347697142511606","0.002137931529432535","1451","1451","1451","0.00321406708098948","0.001956287305802107","0.004251640290021896"
"68","1472","1472","1472","0.0017893701558932662","0.0014182666782289743","0.002139032818377018","1472","1472","1472","0.0031627140939235686","0.002051812130957842","0.003984400071203709"
"69","1494","1494","1494","0.001771561475470662","0.0013912813737988472","0.0020820200443267822","1494","1494","1494","0.003151203878223896","0.0020797394681721926","0.004111913964152336"
"70","1515","1515","1515","0.0017645230051130056","0.0014195378171280026","0.0020704464986920357","1515","1515","1515","0.003060903679579496","0.0019661327823996544","0.0036522080190479755"
"71","1536","1536","1536","0.001771319075487554","0.0014325102092698216","0.002029979834333062","1536","1536","1536","0.003126340266317129","0.0020296925213187933","0.00387469120323658"
"72","1558","1558","1558","0.0017527560004964471","0.001396743580698967","0.001987186959013343","1558","1558","1558","0.0030980937415733935","0.0019385904306545854","0.003882006509229541"
"73","1579","1579","1579","0.0017529360484331846","0.001389270299114287","0.0021117860451340675","1579","1579","1579","0.003083662036806345","0.002004254376515746","0.0037193484604358673"
"74","1601","1601","1601","0.0017405077582225204","0.0013681839918717742","0.0020935325883328915","1601","1601","1601","0.003071278985589743","0.001964250346645713","0.003829707158729434"
"75","1622","1622","1622","0.0017467450816184282","0.0013696628157049417","0.002139810938388109","1622","1622","1622","0.0031592112965881823","0.002070749644190073","0.004054580349475145"
"76","1643","1643","1643","0.0017242289846763014","0.0013692390639334917","0.002022661967203021","1643","1643","1643","0.003064421797171235","0.0019848220981657505","0.0037072179839015007"
"77","1665","1665","1665","0.001732763065956533","0.0013367136707529426","0.002057787962257862","1665","1665","1665","0.0031513579189777373","0.0019701034761965275","0.003939321264624596"
"78","1686","1686","1686","0.0017618981190025806","0.0013415212742984295","0.00212757452391088","1686","1686","1686","0.0030630838591605425","0.0019653956405818462","0.003850342705845833"
"79","1707","1707","1707","0.0017297538928687573","0.0013295745011419058","0.002108101500198245","1707","1707","1707","0.003044909005984664","0.001954091712832451","0.003918612375855446"
